Curso;Matrículas;Reprovações;Percentual;Ano
ADMINISTRAÇÃO;3760;218;5.8;2007
AGRONOMIA;624;56;9;2007
ARTE E MÍDIA;1009;27;2.7;2007
CIÊNCIA DA COMPUTAÇÃO;3054;280;9.2;2007
CIÊNCIAS;2486;241;9.7;2007
CIÊNCIAS BIOLÓGICAS (LIC);1164;163;14;2007
CIÊNCIAS CONTÁBEIS;3356;145;4.3;2007
CIÊNCIAS ECONÔMICAS;2053;126;6.1;2007
CIÊNCIAS SOCIAIS;1686;79;4.7;2007
DESENHO INDUSTRIAL;1068;67;6.3;2007
DESIGN;586;41;7;2007
DIREITO;7498;16;0.2;2007
ENFERMAGEM;2044;20;1;2007
ENGENHARIA AGRÍCOLA;747;154;20.6;2007
ENGENHARIA AMBIENTAL;227;11;4.8;2007
ENGENHARIA CIVIL;3417;534;15.6;2007
ENGENHARIA DE ALIMENTOS;251;30;12;2007
ENGENHARIA DE MATERIAIS;1490;204;13.7;2007
ENGENHARIA DE MINAS;827;185;22.4;2007
ENGENHARIA DE PRODUÇÃO;820;81;9.9;2007
ENGENHARIA ELÉTRICA;6182;858;13.9;2007
ENGENHARIA FLORESTAL;1076;123;11.4;2007
ENGENHARIA MECÂNICA;2630;404;15.4;2007
ENGENHARIA QUÍMICA;1400;113;8.1;2007
FARMÁCIA;270;10;3.7;2007
FÍSICA (BAC);326;67;20.6;2007
FÍSICA (LIC);363;89;24.5;2007
GEOGRAFIA (LICENCIATURA);2274;166;7.3;2007
HISTÓRIA;4569;259;5.7;2007
LETRAS;5054;252;5;2007
MATEMÁTICA;1235;147;11.9;2007
MEDICINA;4528;16;0.4;2007
MEDICINA VETERINÁRIA;3899;233;6;2007
METEOROLOGIA;441;106;24;2007
PEDAGOGIA;4203;223;5.3;2007
QUÍMICA (LIC);684;120;17.5;2007
