Curso;Matrículas.04;Reprovações.04;Percentual.04
ADMINISTRAÇÃO;3673;158;4.3
ARTE E MÍDIA;1013;35;3.5
CIÊNCIA DA COMPUTAÇÃO;2840;291;10.2
CIÊNCIAS;1845;208;11.3
CIÊNCIAS CONTÁBEIS;169;23;13.6
CIÊNCIAS ECONÔMICAS;2059;168;8.2
CIÊNCIAS SOCIAIS;1275;33;2.6
DESENHO INDUSTRIAL;1633;69;4.2
DESIGN;89;4;4.5
DIREITO;6416;16;0.2
ENGENHARIA AGRÍCOLA;916;163;17.8
ENGENHARIA CIVIL;3899;585;15
ENGENHARIA DE MATERIAIS;1662;215;12.9
ENGENHARIA DE MINAS;711;108;15.2
ENGENHARIA ELÉTRICA;6265;698;11.1
ENGENHARIA FLORESTAL;705;49;7
ENGENHARIA MECÂNICA;2509;491;19.6
ENGENHARIA QUÍMICA;1654;171;10.3
FÍSICA;318;54;17
GEOGRAFIA;2610;95;3.6
HISTÓRIA;4902;245;5
LETRAS;4806;205;4.3
MATEMÁTICA;990;158;16
MEDICINA;4390;18;0.4
MEDICINA VETERINÁRIA;3765;217;5.8
METEOROLOGIA;445;68;15.3
PEDAGOGIA;4163;160;3.8
TECNOLOGIA QUÍMICA (COUROS E TANANTES);11;2;18.2
