Curso;Matrículas;Reprovações;Percentual
ADMINISTRAÇÃO;6111;445;7.3
AGRONOMIA;2557;334;13.1
ARQUITETURA E URBANISMO;722;66;9.1
ARTE E MÍDIA;1113;56;5
CIÊNCIA DA COMPUTAÇÃO;4976;995;20
CIÊNCIAS;1907;208;10.9
CIÊNCIAS BIOLÓGICAS;5370;512;9.5
CIÊNCIAS CONTÁBEIS;2463;185;7.5
CIÊNCIAS ECONÔMICAS;2172;240;11
CIÊNCIAS SOCIAIS;3083;297;9.6
COMUNICAÇÃO SOCIAL;933;50;5.4
DESENHO INDUSTRIAL;87;31;35.6
DESIGN;2057;216;10.5
DIREITO;7791;22;0.3
ENFERMAGEM;10390;443;4.3
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1364;262;19.2
ENGENHARIA AGRÍCOLA;1425;250;17.5
ENGENHARIA AMBIENTAL;2375;492;20.7
ENGENHARIA CIVIL;4747;607;12.8
ENGENHARIA DE ALIMENTOS;3101;701;22.6
ENGENHARIA DE BIOSSISTEMAS;1162;301;25.9
ENGENHARIA DE MATERIAIS;2471;555;22.5
ENGENHARIA DE MINAS;1449;278;19.2
ENGENHARIA DE PETRÓLEO;1301;228;17.5
ENGENHARIA DE PRODUÇÃO;2952;438;14.8
ENGENHARIA ELÉTRICA;9055;1412;15.6
ENGENHARIA FLORESTAL;1841;240;13
ENGENHARIA MECÂNICA;3499;526;15
ENGENHARIA QUÍMICA;2172;234;10.8
ESTATÍSTICA;263;79;30
FARMÁCIA;4217;229;5.4
FILOSOFIA;520;109;21
FÍSICA;1472;387;26.3
GEOGRAFIA;3908;283;7.2
HISTÓRIA;5093;401;7.9
INTERDISCIPLINAR EM EDUC. DO CAMPO;1401;115;8.2
LETRAS;5443;452;8.3
LICENCIATURA INTERCULTURAL INDÍGENA;678;27;4
MATEMÁTICA;2430;353;14.5
MEDICINA;9456;27;0.3
MEDICINA VETERINÁRIA;4540;391;8.6
METEOROLOGIA;378;104;27.5
MÚSICA;767;21;2.7
NUTRIÇÃO;2476;126;5.1
ODONTOLOGIA;2715;140;5.2
PEDAGOGIA;5435;206;3.8
PSICOLOGIA;1328;17;1.3
QUÍMICA;1758;248;14.1
SERVIÇO SOCIAL;1036;27;2.6
TECNOLOGIA EM AGROECOLOGIA;1039;60;5.8
TECNOLOGIA EM GESTÃO PÚBLICA;928;112;12.1
